site_id,region,latitude,longitude,signal_strength,status
2001,Stockholm,59.3362,18.0625,-67,active
2002,Stockholm,59.3298,18.0741,-71,active
2003,Stockholm,59.3185,18.0457,-79,degraded
2004,Stockholm,59.3479,18.1012,-64,active
2005,Stockholm,59.3014,18.0888,-88,maintenance
2006,Gothenburg,57.7084,11.9702,-66,active
2007,Gothenburg,57.6952,11.9486,-74,active
2008,Gothenburg,57.7211,11.9998,-82,degraded
2009,Gothenburg,57.7393,11.9620,-69,active
2010,Gothenburg,57.6834,12.0149,-91,maintenance
2011,Malmo,55.6049,13.0041,-70,active
2012,Malmo,55.5917,12.9945,-76,active
2013,Malmo,55.6128,13.0319,-84,degraded
2014,Malmo,55.6253,13.0167,-68,active
2015,Malmo,55.5792,13.0434,-95,offline
2016,Uppsala,59.8586,17.6389,-65,active
2017,Uppsala,59.8472,17.6296,-73,active
2018,Uppsala,59.8734,17.6612,-87,degraded
2019,Vasteras,59.6110,16.5448,-69,active
2020,Vasteras,59.5984,16.5231,-78,active
2021,Vasteras,59.6238,16.5682,-90,maintenance
2022,Orebro,59.2741,15.2085,-72,active
2023,Orebro,59.2669,15.2281,-80,degraded
2024,Orebro,59.2865,15.1960,-86,maintenance
2025,Linkoping,58.4107,15.6214,-68,active
2026,Linkoping,58.3978,15.6460,-75,active
2027,Linkoping,58.4212,15.6038,-83,degraded
2028,Vaxjo,56.8790,14.8059,-71,active
2029,Vaxjo,56.8675,14.8291,-89,maintenance
2030,Jonkoping,57.7815,14.1638,-67,active
2031,Jonkoping,57.7682,14.1901,-81,degraded
2032,Lulea,65.5843,22.1546,-74,active
2033,Lulea,65.6018,22.1782,-92,maintenance
2034,Umea,63.8256,20.2630,-70,active
2035,Umea,63.8381,20.2957,-85,degraded
